G	R	I	N	H
0	0	8	1	1
0	2	4	1	0
0	2	9	9	2
0	5	1	0	0
4	0	0	2	3
2	2	8	10	3
0	0	0	0	1
1	1	3	3	3
6	2	0	0	9
0	0	0	10	3
2	3	6	2	11
0	2	9	14	0
0	2	0	0	1
0	0	0	0	0
2	2	0	0	0
1	1	2	1	0
1	5	3	0	3
0	15	5	0	0
0	0	0	3	0
0	0	4	4	1
16	3	0	0	4
1	0	0	4	2
16	0	0	0	0
0	0	1	0	0
5	2	0	15	1
1	18	2	3	0
1	0	0	0	0
11	3	1	0	2
0	0	0	8	5
6	2	2	2	6
0	23	2	0	0
0	0	8	0	0
1	6	1	5	8
9	0	0	0	9
0	0	0	0	0
21	0	0	0	0
0	0	21	1	0
2	7	0	0	0
9	0	8	1	1
2	5	0	1	8
1	1	1	0	2
0	0	0	0	0
2	1	8	1	3
3	0	0	0	0
3	3	2	0	5
1	0	0	0	0
4	1	1	4	10
0	0	0	1	0
9	1	0	2	4
25	0	0	0	0
3	17	5	0	0
2	0	13	3	0
7	4	0	0	0
1	0	12	0	0
0	1	11	0	2
0	6	12	2	1
0	1	0	0	0
0	0	0	14	1
0	0	1	3	0
0	1	1	0	0
